,Name,Description,Categories,Lokasi
0,Srengenge Wetan,"Srengenge Wetan is renowned as the first traditional Osing food restaurant in Banyuwangi, offering an authentic culinary journey through the region's unique flavors. The restaurant boasts a comfortable and elegant interior, blending traditional charm with modern touches, making it an ideal setting for family gatherings or special events. Guests can savor signature dishes like Ayam Lodoh, Nasi Pecel Pitek, and the unique Rujak Soto, which elevates local village cuisine to a sophisticated restaurant experience.","Makanan Tradisional Osing, Masakan Banyuwangi, Indonesia, Cafe",Banyuwangi
1,"Ratu Osing Bakery, Pusat Oleh-Oleh Banyuwangi","destinasi lengkap di Banyuwangi yang menyatukan bakery, restoran, dan pusat oleh-oleh dalam satu tempat. Awalnya dikenal dengan hidangan laut, kini Ratu Osing fokus menyajikan ragam masakan khas Nusantara, termasuk menu unggulan seperti Ayam Uyah Asem dan Nasi Tempong, sembari tetap mempertahankan pilihan seafood. Selain hidangan lezat, tempat ini juga memanjakan pengunjung dengan interior yang aesthetic dan nyaman, menjadikannya lokasi ideal untuk bersantap maupun berburu buah tangan khas Banyuwangi.","Bakery, Restoran, Pusat Oleh-oleh, Masakan Nusantara, Masakan Jawa, Seafood, Indonesia, Cafe",Tamanbaru
2,Baron Ndut's Steaks & Burgers Banyuwangi,"menyajikan beragam pilihan steak premium dan burger juicy dengan harga yang sangat terjangkau. Restoran ini menonjolkan kualitas daging yang baik untuk menu seperti sirloin, ribeye, dan tenderloin, menawarkan pengalaman bersantap setara restoran besar namun dengan harga yang ramah di kantong. Selain hidangan utama, Baron Ndut's juga melengkapi menunya dengan pilihan pasta dan hidangan Western lainnya, menjadikannya tempat favorit bagi keluarga maupun kawula muda untuk menikmati suasana yang nyaman dan hidangan lezat.","Steakhouse, Burger, Western, Pasta, Cafe",Tamansari
3,Umarasa cafe & Resto,"menawarkan perpaduan unik antara suasana pedesaan Jawa yang otentik dengan kenyamanan modern, menciptakan tempat yang ideal untuk bersantai dan menikmati hidangan. Restoran ini menyajikan beragam kuliner Nusantara, khususnya masakan Jawa yang kaya rasa, serta pilihan menu Barat dan Asia untuk memuaskan selera pengunjung yang beragam. Dengan arsitektur tradisional dan interior yang homey, Umarasa menghadirkan pengalaman bersantap yang tenang dan jauh dari hiruk pikuk kota, seolah kembali ke kampung halaman.","Cafe, Restoran, Masakan Jawa, Masakan Indonesia, Western, Asian, Tradisional",Tamanbaru
4,Osing Deles Cafe & Resto,"destinasi wajib di Banyuwangi, yang menggabungkan kafe, restoran, dan pusat oleh-oleh modern dalam satu area luas dengan desain minimalis nan instagramable. Tempat ini menawarkan pengalaman kuliner yang beragam, mulai dari hidangan khas Suku Osing seperti Ayam Kesrut dan Rawon Banyuwangi, hingga pilihan masakan Indonesia dan Barat yang familiar. Sebagai pusat oleh-oleh terbesar dan terlengkap, Osing Deles juga memungkinkan pengunjung berburu berbagai produk lokal dan kerajinan tangan khas Banyuwangi setelah menikmati santapan lezat.","Cafe, Restoran, Pusat Oleh-oleh, Masakan Osing, Masakan Banyuwangi, Masakan Indonesia, Western, Kopi",Tamanbaru
5,Sego Tempong Mbok Wah,"salah satu kuliner legendaris di Banyuwangi yang terkenal dengan sambalnya yang super pedas dan nampol, sesuai dengan namanya ""tempong"" yang berarti tampar dalam bahasa Osing. Warung ini telah beroperasi sejak tahun 2005 dan mempertahankan resep asli sambal yang dibuat dadakan dari cabai rawit, tomat ranti, terasi, dan garam kasar. Selain sambal yang menjadi daya tarik utama, Sego Tempong Mbok Wah juga menyajikan berbagai pilihan lauk pauk sederhana namun lezat, seperti ayam goreng, udang goreng, cumi hitam, ati ampela, telur dadar, paru goreng, lele goreng, pepes kepala ikan, dan berbagai sayuran rebus segar (bayam, mentimun, kol, terong). Tempat ini sering ramai pengunjung, baik lokal maupun wisatawan, dan buka setiap hari dari pukul 09.00 hingga 22.00 WIB.","Masakan Indonesia, Masakan Jawa, Pedas, Tradisional",Mojoagung
6,WIZZMIE Banyuwangi,"WIZZMIE Banyuwangi merupakan restoran spesialis mi yang sangat populer di kalangan anak muda, terkenal dengan konsep modern dan menu mi pedas dengan berbagai tingkatan level yang dapat disesuaikan. Selain varian mi pedas dengan beragam topping, restoran ini juga menawarkan hidangan pendamping kekinian seperti dimsum, siomay, pangsit, dan berbagai minuman segar. Dengan interior yang nyaman dan harga yang ramah di kantong, WIZZMIE menjadi tempat favorit untuk nongkrong dan menikmati hidangan mi yang inovatif di Banyuwangi.","Mi, Chinese Food, Asian, Casual Dining, Cafe",Banyuwangi
7,Warung Mbok Sul (WSL) Food & Beverages Banyuwangi,"destinasi kuliner populer di Banyuwangi yang menawarkan suasana nyaman dan modern, ideal untuk bersantai dan bercengkrama. Restoran ini dikenal dengan beragam pilihan hidangan Nusantara, mulai dari masakan rumahan hingga menu-menu kekinian, menjadikannya pilihan tepat untuk makan bersama keluarga atau teman. Selain menyajikan makanan lezat, WSL juga menyediakan berbagai pilihan minuman dan sering menjadi spot favorit bagi pengunjung yang mencari tempat makan dengan suasana menyenangkan.","Masakan Indonesia, Masakan Nusantara, Casual Dining, Cafe",Tamanbaru
8,Pondok Desa Traditional Restoran Batu,"restoran keluarga yang populer di Kota Batu, Jawa Timur. Restoran ini menawarkan suasana pedesaan yang asri dan nyaman dengan area indoor serta lesehan yang luas, cocok untuk menampung rombongan besar. Pondok Desa Traditional Restoran Batu dikenal dengan hidangan Nusantara otentik, terutama masakan Sunda dan seafood, yang disajikan dengan cita rasa rumahan. Beberapa menu andalan mereka meliputi berbagai olahan ikan gurami (seperti Gurami Goreng Terbang, Gurami Bakar Kecap, Gurami Saus Mangga), udang bakar sate, kepiting jumbo asap, dan aneka paket nasi dengan lauk seperti ayam, nila, kakap, dan udang. Mereka juga menyediakan hidangan pendamping seperti sayur asem dan urap-urap.","Masakan Indonesia, Masakan Sunda, Seafood, Keluarga, Tradisional.",Kota Batu
9,REMPAH - Warung Khas Batu - Wisata Kuliner Unik Khas Kota Batu,"Warung Khas Batu adalah destinasi kuliner unik di Kota Batu yang mengedepankan kekayaan rempah-rempah Nusantara. Restoran ini menawarkan pengalaman bersantap dengan cita rasa autentik Indonesia, serta beberapa pilihan menu Western.","Masakan Indonesia, Masakan Nusantara, Western, Cafe, Keluarga.",Kota Batu
